[ITEN1 Reference Specific Tension],[ITEN2 Reference Specific Tension],[ITEN1 Actual Specific Tension],[ITEN2 Actual Specific Tension],[ITEN3 Reference Specific Tension],[ITEN4 Reference Specific Tension],[ITEN3 Actual Specific Tension],[ITEN4 Actual Specific Tension],[Rolling Speed]
ITEN1 Reference Specific Tension,ITEN2 Reference Specific Tension,ITEN1 Actual Specific Tension,ITEN2 Actual Specific Tension,ITEN3 Reference Specific Tension,ITEN4 Reference Specific Tension,ITEN3 Actual Specific Tension,ITEN4 Actual Specific Tension,Rolling Speed
76.4118,97.5388,76.4118,97.5388,79.7484,90.3286,79.7484,90.3286,0
76.4118,97.5388,76.4118,97.5388,79.7484,90.3286,79.7484,90.3286,0
76.3906,97.5216,76.3906,97.5216,79.7484,90.3286,79.7484,90.3286,0
76.3906,97.5216,76.3906,97.5216,79.7484,90.3286,79.7484,90.3286,0
76.3906,97.5216,76.3906,97.5216,79.841,90.2328,79.841,90.2328,0
76.3906,97.5216,76.3906,97.5216,79.841,90.2328,79.841,90.2328,0
76.3618,97.4832,76.3618,97.4832,79.841,90.2328,79.841,90.2328,0
76.3618,97.4832,76.3618,97.4832,79.841,90.2054,79.841,90.2054,0
76.3618,97.4832,76.3618,97.4832,79.933,90.2054,79.933,90.2054,0
76.3618,97.4832,76.3618,97.4832,79.933,90.2054,79.933,90.2054,0
76.3446,97.4786,76.3446,97.4786,79.933,90.2054,79.933,90.2054,0
76.3446,97.4786,76.3446,97.4786,79.933,90.1506,79.933,90.1506,0
76.3446,97.4786,76.3446,97.4786,79.9618,90.1506,79.9618,90.1506,0
76.3446,97.4786,76.3446,97.4786,79.9618,90.1506,79.9618,90.1506,0
76.3146,97.4503,76.3146,97.4503,79.9618,90.1506,79.9618,90.1506,0
76.3146,97.4503,76.3146,97.4503,79.9618,90.1506,79.9618,90.1506,0
76.3146,97.4503,76.3146,97.4503,79.9834,90.1182,79.9834,90.1182,0
76.3146,97.4503,76.3146,97.4503,79.9834,90.1182,79.9834,90.1182,0
76.2716,97.3898,76.2716,97.3898,79.9834,90.1182,79.9834,90.1182,0
76.2716,97.3898,76.2716,97.3898,79.9834,90.1215,79.9834,90.1215,0
76.2716,97.3898,76.2716,97.3898,79.9788,90.1215,79.9788,90.1215,0
76.2716,97.3898,76.2716,97.3898,79.9788,90.1215,79.9788,90.1215,0
76.2274,97.3451,76.2274,97.3451,79.9788,90.1215,79.9788,90.1215,0
76.2274,97.3451,76.2274,97.3451,79.9788,90.1589,79.9788,90.1589,0
76.2274,97.3451,76.2274,97.3451,79.9155,90.1589,79.9155,90.1589,0
76.2274,97.3451,76.2274,97.3451,79.9155,90.1589,79.9155,90.1589,0
76.2263,97.328,76.2263,97.328,79.9155,90.1589,79.9155,90.1589,0
76.2263,97.328,76.2263,97.328,79.9155,90.2417,79.9155,90.2417,0
76.2263,97.328,76.2263,97.328,79.8273,90.2417,79.8273,90.2417,0
76.2263,97.328,76.2263,97.328,79.8273,90.2417,79.8273,90.2417,0
76.2018,97.31,76.2018,97.31,79.8273,90.2417,79.8273,90.2417,0
76.2018,97.31,76.2018,97.31,79.8273,90.3008,79.8273,90.3008,0
76.2018,97.31,76.2018,97.31,79.7308,90.3008,79.7308,90.3008,0
76.2018,97.31,76.2018,97.31,79.7308,90.3008,79.7308,90.3008,0
76.1964,97.314,76.1964,97.314,79.7308,90.3008,79.7308,90.3008,0
76.1964,97.314,76.1964,97.314,79.7308,90.3008,79.7308,90.3008,0
76.1964,97.314,76.1964,97.314,79.6428,90.3715,79.6428,90.3715,0
76.1964,97.314,76.1964,97.314,79.6428,90.3715,79.6428,90.3715,0
76.2105,97.3156,76.2105,97.3156,79.6428,90.3715,79.6428,90.3715,0
76.2105,97.3156,76.2105,97.3156,79.6428,90.453,79.6428,90.453,0
76.2105,97.3156,76.2105,97.3156,79.505,90.453,79.505,90.453,0
76.2105,97.3156,76.2105,97.3156,79.505,90.453,79.505,90.453,0
76.2443,97.3169,76.2443,97.3169,79.505,90.453,79.505,90.453,0
76.2443,97.3169,76.2443,97.3169,79.505,90.5471,79.505,90.5471,0
76.2443,97.3169,76.2443,97.3169,79.3932,90.5471,79.3932,90.5471,0
76.2443,97.3169,76.2443,97.3169,79.3932,90.5471,79.3932,90.5471,0
76.2433,97.3408,76.2433,97.3408,79.3932,90.5471,79.3932,90.5471,0
76.2433,97.3408,76.2433,97.3408,79.3932,90.6104,79.3932,90.6104,0
76.2433,97.3408,76.2433,97.3408,79.2835,90.6104,79.2835,90.6104,0
76.2433,97.3408,76.2433,97.3408,79.2835,90.6104,79.2835,90.6104,0
76.2335,97.3237,76.2335,97.3237,79.2835,90.6104,79.2835,90.6104,0
76.2335,97.3237,76.2335,97.3237,79.2835,90.6499,79.2835,90.6499,0
76.2335,97.3237,76.2335,97.3237,79.2048,90.6499,79.2048,90.6499,0
76.2335,97.3237,76.2335,97.3237,79.2048,90.6499,79.2048,90.6499,0
76.2396,97.317,76.2396,97.317,79.2048,90.6499,79.2048,90.6499,0
76.2396,97.317,76.2396,97.317,79.2048,90.6499,79.2048,90.6499,0
76.2396,97.317,76.2396,97.317,79.1697,90.7145,79.1697,90.7145,0
76.2396,97.317,76.2396,97.317,79.1697,90.7145,79.1697,90.7145,0
76.2668,97.3621,76.2668,97.3621,79.1697,90.7145,79.1697,90.7145,0
76.2668,97.3621,76.2668,97.3621,79.1697,90.7934,79.1697,90.7934,0
76.2668,97.3621,76.2668,97.3621,79.0914,90.7934,79.0914,90.7934,0
76.2668,97.3621,76.2668,97.3621,79.0914,90.7934,79.0914,90.7934,0
76.2465,97.3542,76.2465,97.3542,79.0914,90.7934,79.0914,90.7934,0
76.2465,97.3542,76.2465,97.3542,79.0914,90.7786,79.0914,90.7786,0
76.2465,97.3542,76.2465,97.3542,79.0091,90.7786,79.0091,90.7786,0
76.2465,97.3542,76.2465,97.3542,79.0091,90.7786,79.0091,90.7786,0
76.2381,97.3656,76.2381,97.3656,79.0091,90.7786,79.0091,90.7786,0
76.2381,97.3656,76.2381,97.3656,79.0091,90.7416,79.0091,90.7416,0
76.2381,97.3656,76.2381,97.3656,78.9741,90.7416,78.9741,90.7416,0
76.2381,97.3656,76.2381,97.3656,78.9741,90.7416,78.9741,90.7416,0
76.2509,97.3562,76.2509,97.3562,78.9741,90.7416,78.9741,90.7416,0
76.2509,97.3562,76.2509,97.3562,78.9741,90.8131,78.9741,90.8131,0
76.2509,97.3562,76.2509,97.3562,78.9565,90.8131,78.9565,90.8131,0
76.2509,97.3562,76.2509,97.3562,78.9565,90.8131,78.9565,90.8131,0
76.2717,97.3917,76.2717,97.3917,78.9565,90.8131,78.9565,90.8131,0
76.2717,97.3917,76.2717,97.3917,78.9565,90.8131,78.9565,90.8131,0
76.2717,97.3917,76.2717,97.3917,78.8896,90.8593,78.8896,90.8593,0
76.2721,97.3917,76.2721,97.3917,78.8896,90.8593,78.8896,90.8593,0
76.2721,97.4102,76.2721,97.4102,78.8896,90.8593,78.8896,90.8593,0
76.2721,97.4102,76.2721,97.4102,78.8896,90.8176,78.8896,90.8176,0
76.2721,97.4102,76.2721,97.4102,78.8651,90.8176,78.8651,90.8176,0
76.2721,97.4102,76.2721,97.4102,78.8651,90.8176,78.8651,90.8176,0
76.2756,97.4074,76.2756,97.4074,78.8651,90.8176,78.8651,90.8176,0
76.2756,97.4074,76.2756,97.4074,78.8651,90.7947,78.8651,90.7947,0
76.2756,97.4074,76.2756,97.4074,78.8572,90.7947,78.8572,90.7947,0
76.2756,97.4074,76.2756,97.4074,78.8572,90.7947,78.8572,90.7947,0
76.3294,97.4263,76.3294,97.4263,78.8572,90.7947,78.8572,90.7947,0
76.3294,97.4263,76.3294,97.4263,78.8572,90.869,78.8572,90.869,0
76.3294,97.4263,76.3294,97.4263,78.8427,90.869,78.8427,90.869,0
76.3294,97.4263,76.3294,97.4263,78.8427,90.869,78.8427,90.869,0
76.4289,97.4735,76.4289,97.4735,78.8427,90.869,78.8427,90.869,0
76.4289,97.4735,76.4289,97.4735,78.8427,90.92,78.8427,90.92,0
76.4289,97.4735,76.4289,97.4735,78.7903,90.92,78.7903,90.92,0
76.4289,97.4735,76.4289,97.4735,78.7903,90.92,78.7903,90.92,0
76.4403,97.4894,76.4403,97.4894,78.7903,90.92,78.7903,90.92,0
76.4403,97.4894,76.4403,97.4894,78.7903,90.92,78.7903,90.92,0
76.4403,97.4894,76.4403,97.4894,78.798,90.8027,78.798,90.8027,0
76.4403,97.4894,76.4403,97.4894,78.798,90.8027,78.798,90.8027,0
76.4585,97.5032,76.4585,97.5032,78.798,90.8027,78.798,90.8027,0
76.4585,97.5032,76.4585,97.5032,78.798,90.7191,78.798,90.7191,0
76.4585,97.5032,76.4585,97.5032,78.8406,90.7191,78.8406,90.7191,0
76.4585,97.5032,76.4585,97.5032,78.8406,90.7191,78.8406,90.7191,0
76.5053,97.5422,76.5053,97.5422,78.8406,90.7191,78.8406,90.7191,0
76.5053,97.5422,76.5053,97.5422,78.8406,90.7364,78.8406,90.7364,0
76.5053,97.5422,76.5053,97.5422,78.8543,90.7364,78.8543,90.7364,0
76.5053,97.5422,76.5053,97.5422,78.8543,90.7364,78.8543,90.7364,0
76.5697,97.5587,76.5697,97.5587,78.8543,90.7364,78.8543,90.7364,0
76.5697,97.5587,76.5697,97.5587,78.8543,90.7803,78.8543,90.7803,0
76.5697,97.5587,76.5697,97.5587,78.8383,90.7803,78.8383,90.7803,0
76.5697,97.5587,76.5697,97.5587,78.8383,90.7803,78.8383,90.7803,0
76.5409,97.5396,76.5409,97.5396,78.8383,90.7803,78.8383,90.7803,0
76.5409,97.5396,76.5409,97.5396,78.8383,90.7169,78.8383,90.7169,0
76.5409,97.5396,76.5409,97.5396,78.8726,90.7169,78.8726,90.7169,0
76.5448,97.5565,76.5448,97.5565,78.8726,90.7169,78.8726,90.7169,0
